id,name,icd_code,specialty,description,severity,chronic,treatment_available,prevalence
104,Carpal Tunnel Syndrome,G56.0,Orthopedics,"Carpal Tunnel Syndrome (ICD-10: G56.0) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Uncommon
105,Moderate Alzheimer's Disease,G30.X,Neurology,"Moderate Alzheimer's Disease (ICD-10: G30.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Common
106,Recurrent Cervical Spondylosis,M47.8.X,Orthopedics,"Recurrent Cervical Spondylosis (ICD-10: M47.8.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Very Common
107,Lumbar Disc Herniation,M51.1,Orthopedics,"Lumbar Disc Herniation (ICD-10: M51.1) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Yes,Common
108,Autism Spectrum Disorder,F84,Pediatrics,"Autism Spectrum Disorder (ICD-10: F84) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Very Common
109,Diabetes Insipidus,E23.2,Endocrinology,"Diabetes Insipidus (ICD-10: E23.2) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Common
110,Late-Onset Aplastic Anemia,D61.X,Hematology,"Late-Onset Aplastic Anemia (ICD-10: D61.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Uncommon
111,Congenital Low Back Pain,M54.5.X,Orthopedics,"Congenital Low Back Pain (ICD-10: M54.5.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Rare
112,Moderate Febrile Seizures,R56.0.X,Pediatrics,"Moderate Febrile Seizures (ICD-10: R56.0.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Very Common
113,Primary Respiratory Failure,J96.X,Critical Care,"Primary Respiratory Failure (ICD-10: J96.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Very Common
114,Endometriosis,N80,Gynecology,"Endometriosis (ICD-10: N80) is a clinical diagnosis managed under Gynecology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Uncommon
115,Drug-Induced Acute Pancreatitis,K85.X,Gastroenterology,"Drug-Induced Acute Pancreatitis (ICD-10: K85.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Common
116,Autoimmune Sickle Cell Disease,D57.X,Hematology,"Autoimmune Sickle Cell Disease (ICD-10: D57.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Common
117,Primary Urticaria,L50.X,Dermatology,"Primary Urticaria (ICD-10: L50.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Uncommon
118,Idiopathic Malaria,B54.X,Infectious Disease,"Idiopathic Malaria (ICD-10: B54.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Very Common
119,Chronic Community-Acquired Pneumonia,J18.X,Pulmonology,"Chronic Community-Acquired Pneumonia (ICD-10: J18.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Rare
120,Early-Onset Aortic Stenosis,I35.0.X,Cardiology,"Early-Onset Aortic Stenosis (ICD-10: I35.0.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Curative,Very Common
121,Idiopathic Placenta Previa,O44.X,Obstetrics,"Idiopathic Placenta Previa (ICD-10: O44.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Uncommon
122,Addison's Disease,E27.1,Endocrinology,"Addison's Disease (ICD-10: E27.1) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Uncommon
123,Congenital Leukemia,C91.X,Critical Care,"Congenital Leukemia (ICD-10: C91.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Common
124,Acute Nephrotic Syndrome,N04.X,Nephrology,"Acute Nephrotic Syndrome (ICD-10: N04.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Rare
125,Autoimmune Pleural Effusion,J90.X,Pulmonology,"Autoimmune Pleural Effusion (ICD-10: J90.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Common
126,Chronic Fibromyalgia,M79.7.X,Rheumatology,"Chronic Fibromyalgia (ICD-10: M79.7.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Very Common
127,Idiopathic Hyperparathyroidism,E21.X,Endocrinology,"Idiopathic Hyperparathyroidism (ICD-10: E21.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Very Common
128,Drug-Induced Hemorrhagic Stroke,I61.X,Neurology,"Drug-Induced Hemorrhagic Stroke (ICD-10: I61.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Common
129,Chronic Placenta Previa,O44.X,Obstetrics,"Chronic Placenta Previa (ICD-10: O44.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Very Common
130,Chronic Hypertensive Heart Disease,I11.X,Cardiology,"Chronic Hypertensive Heart Disease (ICD-10: I11.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Yes,Common
131,Congenital Leptospirosis,A27.X,Infectious Disease,"Congenital Leptospirosis (ICD-10: A27.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Uncommon
132,Primary Mitral Regurgitation,I34.0.X,Cardiology,"Primary Mitral Regurgitation (ICD-10: I34.0.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Very Common
133,Congenital Myasthenia Gravis,G70.0.X,Neurology,"Congenital Myasthenia Gravis (ICD-10: G70.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Curative,Common
134,Mild Chronic Kidney Disease,N18.X,Nephrology,"Mild Chronic Kidney Disease (ICD-10: N18.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Uncommon
135,Moderate Unstable Angina,I20.0.X,Cardiology,"Moderate Unstable Angina (ICD-10: I20.0.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Very Common
136,Moderate Psoriasis,L40.X,Dermatology,"Moderate Psoriasis (ICD-10: L40.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Uncommon
137,Post-Operative Post-Traumatic Stress Disorder,F43.1.X,Psychiatry,"Post-Operative Post-Traumatic Stress Disorder (ICD-10: F43.1.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Common
138,Idiopathic Acute Myocardial Infarction,I21.X,Cardiology,"Idiopathic Acute Myocardial Infarction (ICD-10: I21.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Common
139,Congenital Sinusitis,J32.X,ENT,"Congenital Sinusitis (ICD-10: J32.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Uncommon
140,Primary Leukemia,C91.X,Obstetrics,"Primary Leukemia (ICD-10: C91.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Common
141,Recurrent Pulmonary Embolism,I26.X,Pulmonology,"Recurrent Pulmonary Embolism (ICD-10: I26.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Very Common
142,Severe Breast Cancer,C50.X,Oncology,"Severe Breast Cancer (ICD-10: C50.X) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Rare
143,Idiopathic Low Back Pain,M54.5.X,Orthopedics,"Idiopathic Low Back Pain (ICD-10: M54.5.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Uncommon
144,Acute Pericarditis,I30.X,Cardiology,"Acute Pericarditis (ICD-10: I30.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Yes,Uncommon
145,Secondary Leptospirosis,A27.X,Infectious Disease,"Secondary Leptospirosis (ICD-10: A27.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Rare
146,Kawasaki Disease,M30.3,Pediatrics,"Kawasaki Disease (ICD-10: M30.3) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Uncommon
