id,name,generic_name,category,manufacturer,dosage_form,strength,description,drug_class,prescription_required,storage
105,Prednisolone,Prednisolone,Vitamin/Supplement,GSK India,Tablet,5mg,Prednisolone 5mg Tablet is a corticosteroid used in the management of various conditions. Manufactured by GSK India. Each tablet contains 5mg of active ingredient.,Corticosteroid,Yes,Refrigerate 2-8°C
106,Bisoprolol Extended Release,Bisoprolol,Antiviral,Torrent Pharma,Tablet,500mg,Bisoprolol Extended Release 500mg Tablet is a beta blocker used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 500mg of active ingredient.,Beta Blocker,Yes,Refrigerate 2-8°C
107,Duloxetine Plus,Duloxetine,Antibiotic,Emcure Pharma,Capsule,20mg,Duloxetine Plus 20mg Capsule is a snri antidepressant used in the management of various conditions. Manufactured by Emcure Pharma. Each capsule contains 20mg of active ingredient.,SNRI Antidepressant,Yes,Store away from light
108,Insulin Aspart IV,Insulin Aspart IV,Antidepressant,Emcure Pharma,Injection,10mg,Insulin Aspart IV 10mg Injection is a rapid-acting insulin used in the management of various conditions. Manufactured by Emcure Pharma. Each injection contains 10mg of active ingredient.,Rapid-Acting Insulin,No,Store in dry place
109,Piperacillin-Tazobactam Plus,Piperacillin-Tazobactam,Antibiotic,Elder Pharma,Injection,25mg,Piperacillin-Tazobactam Plus 25mg Injection is a antibiotic used in the management of various conditions. Manufactured by Elder Pharma. Each injection contains 25mg of active ingredient.,Antibiotic,No,Store below 25°C
110,Calcium Carbonate Sustained Release,Calcium Carbonate,Urological,Dr. Reddy's,Tablet,500mg,Calcium Carbonate Sustained Release 500mg Tablet is a calcium supplement used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 500mg of active ingredient.,Calcium Supplement,Yes,Store away from light
111,Rituximab Junior,Rituximab Junior,Hormonal,Max Healthcare Pharma,Injection,1g,Rituximab Junior 1g Injection is a anti-cd20 monoclonal antibody used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each injection contains 1g of active ingredient.,Anti-CD20 Monoclonal Antibody,No,Store below 25°C
112,Sitagliptin,Sitagliptin,Cardiac,Glenmark,Tablet,100mg,Sitagliptin 100mg Tablet is a dpp-4 inhibitor used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 100mg of active ingredient.,DPP-4 Inhibitor,Yes,Store away from light
113,Tamoxifen Forte,Tamoxifen Forte,Bronchodilator,Elder Pharma,Tablet,500mg,Tamoxifen Forte 500mg Tablet is a anti-estrogen used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 500mg of active ingredient.,Anti-Estrogen,Yes,Store in dry place
114,Clotrimazole XR,Clotrimazole XR,Antiviral,Dr. Reddy's,Cream,100mg,Clotrimazole XR 100mg Cream is a antifungal used in the management of various conditions. Manufactured by Dr. Reddy's. Each cream contains 100mg of active ingredient.,Antifungal,Yes,Refrigerate 2-8°C
115,Sertraline,Sertraline,Antimalarial,Lupin,Tablet,50mg,Sertraline 50mg Tablet is a ssri antidepressant used in the management of various conditions. Manufactured by Lupin. Each tablet contains 50mg of active ingredient.,SSRI Antidepressant,No,Refrigerate 2-8°C
116,Tenofovir Plus,Tenofovir,Proton Pump Inhibitor,Novartis India,Tablet,1g,Tenofovir Plus 1g Tablet is a antiretroviral used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 1g of active ingredient.,Antiretroviral,No,Store below 25°C
117,Venlafaxine XR,Venlafaxine XR,Antihypertensive,Wockhardt,Capsule,50mg,Venlafaxine XR 50mg Capsule is a snri antidepressant used in the management of various conditions. Manufactured by Wockhardt. Each capsule contains 50mg of active ingredient.,SNRI Antidepressant,Yes,Refrigerate 2-8°C
118,Valsartan Dispersible,Valsartan Dispersible,Statin,GSK India,Tablet,500mg,Valsartan Dispersible 500mg Tablet is a arb used in the management of various conditions. Manufactured by GSK India. Each tablet contains 500mg of active ingredient.,ARB,Yes,Store in dry place
119,Norepinephrine Sustained Release,Norepinephrine,Antihypertensive,Dabur Pharma,Injection,500mg,Norepinephrine Sustained Release 500mg Injection is a vasopressor used in the management of various conditions. Manufactured by Dabur Pharma. Each injection contains 500mg of active ingredient.,Vasopressor,Yes,Store away from light
120,Esomeprazole Dispersible,Esomeprazole Dispersible,Antiviral,Aristo Pharma,Tablet,1g,Esomeprazole Dispersible 1g Tablet is a proton pump inhibitor used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 1g of active ingredient.,Proton Pump Inhibitor,Yes,Store in dry place
121,Moxifloxacin Junior,Moxifloxacin Junior,Antimalarial,Micro Labs,Tablet,50mg,Moxifloxacin Junior 50mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 50mg of active ingredient.,Antibiotic,Yes,Store away from light
122,Dobutamine Sustained Release,Dobutamine,Antifungal,Lupin,Injection,250mg,Dobutamine Sustained Release 250mg Injection is a inotrope used in the management of various conditions. Manufactured by Lupin. Each injection contains 250mg of active ingredient.,Inotrope,No,Refrigerate 2-8°C
123,Vitamin B Complex SR,Vitamin B Complex SR,Hormonal,Elder Pharma,Tablet,50mg,Vitamin B Complex SR 50mg Tablet is a vitamin used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 50mg of active ingredient.,Vitamin,Yes,Store below 25°C
124,Itraconazole XR,Itraconazole XR,Antidiabetic,Elder Pharma,Capsule,25mg,Itraconazole XR 25mg Capsule is a antifungal used in the management of various conditions. Manufactured by Elder Pharma. Each capsule contains 25mg of active ingredient.,Antifungal,Yes,Store in dry place
125,Telmisartan Sustained Release,Telmisartan,Antidepressant,Wockhardt,Tablet,10mg,Telmisartan Sustained Release 10mg Tablet is a arb used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 10mg of active ingredient.,ARB,Yes,Store away from light
126,Adenosine IV,Adenosine IV,Dermatological,Elder Pharma,Injection,250mg,Adenosine IV 250mg Injection is a antiarrhythmic used in the management of various conditions. Manufactured by Elder Pharma. Each injection contains 250mg of active ingredient.,Antiarrhythmic,Yes,Store below 25°C
127,Ivermectin SR,Ivermectin SR,Antidepressant,Pfizer India,Tablet,50mg,Ivermectin SR 50mg Tablet is a antiparasitic used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 50mg of active ingredient.,Antiparasitic,Yes,Refrigerate 2-8°C
128,Cefixime,Cefixime,Dermatological,Sanofi India,Capsule,200mg,Cefixime 200mg Capsule is a antibiotic used in the management of various conditions. Manufactured by Sanofi India. Each capsule contains 200mg of active ingredient.,Antibiotic,Yes,Store below 25°C
129,Omega-3 Fatty Acids IV,Omega-3 Fatty Acids IV,Antipsychotic,Glenmark,Capsule,250mg,Omega-3 Fatty Acids IV 250mg Capsule is a supplement used in the management of various conditions. Manufactured by Glenmark. Each capsule contains 250mg of active ingredient.,Supplement,No,Store below 25°C
130,Gabapentin Forte,Gabapentin Forte,Immunosuppressant,Dabur Pharma,Capsule,25mg,Gabapentin Forte 25mg Capsule is a antiepileptic/neuropathic pain used in the management of various conditions. Manufactured by Dabur Pharma. Each capsule contains 25mg of active ingredient.,Antiepileptic/Neuropathic Pain,Yes,Store in dry place
131,Salbutamol SR,Salbutamol SR,Antipsychotic,Sun Pharma,Inhaler,250mg,Salbutamol SR 250mg Inhaler is a bronchodilator used in the management of various conditions. Manufactured by Sun Pharma. Each inhaler contains 250mg of active ingredient.,Bronchodilator,Yes,Store in dry place
132,Dabigatran IV,Dabigatran IV,Immunosuppressant,Alkem Labs,Capsule,25mg,Dabigatran IV 25mg Capsule is a noac used in the management of various conditions. Manufactured by Alkem Labs. Each capsule contains 25mg of active ingredient.,NOAC,Yes,Refrigerate 2-8°C
133,Methylprednisolone XR,Methylprednisolone XR,Antiepileptic,Abbott India,Injection,1g,Methylprednisolone XR 1g Injection is a corticosteroid used in the management of various conditions. Manufactured by Abbott India. Each injection contains 1g of active ingredient.,Corticosteroid,Yes,Store in dry place
134,Permethrin IV,Permethrin IV,NSAID,Alkem Labs,Cream,10mg,Permethrin IV 10mg Cream is a antiparasitic used in the management of various conditions. Manufactured by Alkem Labs. Each cream contains 10mg of active ingredient.,Antiparasitic,Yes,Store below 25°C
135,Ivabradine SR,Ivabradine SR,Antimalarial,Novartis India,Tablet,250mg,Ivabradine SR 250mg Tablet is a if-channel blocker used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 250mg of active ingredient.,If-Channel Blocker,No,Store away from light
136,Hydrocortisone,Hydrocortisone,Immunosuppressant,Dabur Pharma,Injection,100mg,Hydrocortisone 100mg Injection is a corticosteroid used in the management of various conditions. Manufactured by Dabur Pharma. Each injection contains 100mg of active ingredient.,Corticosteroid,Yes,Store below 25°C
137,Rabeprazole Junior,Rabeprazole Junior,Anticoagulant,Micro Labs,Tablet,10mg,Rabeprazole Junior 10mg Tablet is a proton pump inhibitor used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 10mg of active ingredient.,Proton Pump Inhibitor,Yes,Store in dry place
138,Pantoprazole XR,Pantoprazole XR,Cardiac,Himalaya,Tablet,500mg,Pantoprazole XR 500mg Tablet is a proton pump inhibitor used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 500mg of active ingredient.,Proton Pump Inhibitor,Yes,Refrigerate 2-8°C
139,Tobramycin Eye Drops Sustained Release,Tobramycin Eye Drops,Cardiac,Max Healthcare Pharma,Eye Drops,1g,Tobramycin Eye Drops Sustained Release 1g Eye Drops is a antibiotic used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each eye drops contains 1g of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
140,Ranitidine Dispersible,Ranitidine Dispersible,Proton Pump Inhibitor,Novartis India,Tablet,10mg,Ranitidine Dispersible 10mg Tablet is a h2 blocker used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 10mg of active ingredient.,H2 Blocker,Yes,Refrigerate 2-8°C
141,Clarithromycin IV,Clarithromycin IV,Antimalarial,Cipla,Tablet,500mg,Clarithromycin IV 500mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Cipla. Each tablet contains 500mg of active ingredient.,Antibiotic,Yes,Store in dry place
142,Levodopa-Carbidopa Forte,Levodopa-Carbidopa Forte,Proton Pump Inhibitor,Himalaya,Tablet,100mg,Levodopa-Carbidopa Forte 100mg Tablet is a anti-parkinson used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 100mg of active ingredient.,Anti-Parkinson,Yes,Store in dry place
143,Clotrimazole Sustained Release,Clotrimazole,Cardiac,Emcure Pharma,Cream,500mg,Clotrimazole Sustained Release 500mg Cream is a antifungal used in the management of various conditions. Manufactured by Emcure Pharma. Each cream contains 500mg of active ingredient.,Antifungal,Yes,Store below 25°C
144,Diazepam Plus,Diazepam,Analgesic,Johnson & Johnson,Tablet,500mg,Diazepam Plus 500mg Tablet is a benzodiazepine used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 500mg of active ingredient.,Benzodiazepine,No,Store in dry place
145,Semaglutide,Semaglutide,Dermatological,Aurobindo Pharma,Injection,1mg/dose,Semaglutide 1mg/dose Injection is a glp-1 agonist used in the management of various conditions. Manufactured by Aurobindo Pharma. Each injection contains 1mg/dose of active ingredient.,GLP-1 Agonist,Yes,Refrigerate 2-8°C
146,Apixaban Extended Release,Apixaban,Hormonal,Aurobindo Pharma,Tablet,100mg,Apixaban Extended Release 100mg Tablet is a noac used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 100mg of active ingredient.,NOAC,Yes,Store in dry place
147,Ipratropium Plus,Ipratropium,Antidepressant,Pfizer India,Inhaler,25mg,Ipratropium Plus 25mg Inhaler is a anticholinergic used in the management of various conditions. Manufactured by Pfizer India. Each inhaler contains 25mg of active ingredient.,Anticholinergic,Yes,Store in dry place
148,Carbamazepine Plus,Carbamazepine,Antiviral,Sun Pharma,Tablet,50mg,Carbamazepine Plus 50mg Tablet is a antiepileptic used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 50mg of active ingredient.,Antiepileptic,Yes,Refrigerate 2-8°C
149,Vitamin C Forte,Vitamin C Forte,Proton Pump Inhibitor,Elder Pharma,Tablet,100mg,Vitamin C Forte 100mg Tablet is a vitamin used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 100mg of active ingredient.,Vitamin,No,Refrigerate 2-8°C
150,Meropenem Extended Release,Meropenem,Proton Pump Inhibitor,Johnson & Johnson,Injection,50mg,Meropenem Extended Release 50mg Injection is a antibiotic used in the management of various conditions. Manufactured by Johnson & Johnson. Each injection contains 50mg of active ingredient.,Antibiotic,Yes,Store away from light
151,Voriconazole,Voriconazole,Analgesic,Micro Labs,Tablet,200mg,Voriconazole 200mg Tablet is a antifungal used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 200mg of active ingredient.,Antifungal,Yes,Store away from light
152,Acyclovir Extended Release,Acyclovir,Ophthalmic,Abbott India,Tablet,20mg,Acyclovir Extended Release 20mg Tablet is a antiviral used in the management of various conditions. Manufactured by Abbott India. Each tablet contains 20mg of active ingredient.,Antiviral,No,Store below 25°C
153,Omeprazole IV,Omeprazole IV,Antidepressant,Zydus Cadila,Capsule,250mg,Omeprazole IV 250mg Capsule is a proton pump inhibitor used in the management of various conditions. Manufactured by Zydus Cadila. Each capsule contains 250mg of active ingredient.,Proton Pump Inhibitor,Yes,Store in dry place
154,Simvastatin Junior,Simvastatin Junior,Antiviral,Wockhardt,Tablet,1g,Simvastatin Junior 1g Tablet is a statin used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 1g of active ingredient.,Statin,Yes,Store away from light
155,Semaglutide Junior,Semaglutide Junior,Proton Pump Inhibitor,Alkem Labs,Injection,100mg,Semaglutide Junior 100mg Injection is a glp-1 agonist used in the management of various conditions. Manufactured by Alkem Labs. Each injection contains 100mg of active ingredient.,GLP-1 Agonist,Yes,Store in dry place
156,Diazepam SR,Diazepam SR,Cardiac,Johnson & Johnson,Tablet,1g,Diazepam SR 1g Tablet is a benzodiazepine used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 1g of active ingredient.,Benzodiazepine,Yes,Store below 25°C
157,Vildagliptin Forte,Vildagliptin Forte,Cardiac,Sun Pharma,Tablet,250mg,Vildagliptin Forte 250mg Tablet is a dpp-4 inhibitor used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 250mg of active ingredient.,DPP-4 Inhibitor,Yes,Store in dry place
