id,name,department,sample_type,description,turnaround_time,fasting_required,normal_range,cost_category
774,Rapid OCT (Optical Coherence Tomography),Ophthalmology,—,rapid method of Retinal layer cross-sectional imaging,4 hours,12 hours,See report,Advanced
775,Wound Swab Culture,Microbiology,Blood (EDTA),Identifies pathogens in infected wounds,2 hours,Yes,Age/sex dependent,Basic
776,Digital AFP (Alpha-Fetoprotein),Biochemistry,Blood (Plain),digital method of Liver cancer and prenatal screening marker,6 hours,Yes,Lab-specific,Specialized
777,Qualitative Sputum Culture,Microbiology,Sputum,qualitative method of Identifies respiratory pathogens,4 hours,No,Standardized,Basic
778,Conventional JAK2 Mutation,Immunology,Blood (EDTA),conventional method of Polycythemia vera and MPN diagnosis,6 hours,12 hours,Standardized,Basic
779,Conventional Lipid Profile,Biochemistry,Blood (Plain),"conventional method of Measures cholesterol, LDL, HDL, triglycerides",24 hours,No,Lab-specific,Basic
780,High-Sensitivity Hemoglobin Estimation,Hematology,Blood (EDTA),high-sensitivity method of Measures hemoglobin concentration in blood,Same day,8 hours,See report,Advanced
781,Extended Urine Routine and Microscopy (780),Biochemistry,Urine (Mid-Stream),"extended method of Screens for UTI, renal disease, metabolic disorders",24 hours,Yes,Lab-specific,Specialized
782,Confirmatory Sputum Culture,Microbiology,Sputum,confirmatory method of Identifies respiratory pathogens,Same day,8 hours,Standardized,Standard
783,Point-of-Care Intraocular Pressure (Tonometry) (782),Ophthalmology,—,point-of-care method of Glaucoma screening and monitoring,Same day,Yes,See report,Advanced
784,Fluorescent Dengue IgM/IgG Antibodies,Microbiology,Blood (Plain),fluorescent method of Serological diagnosis of dengue fever,24 hours,Yes,Lab-specific,Specialized
785,ANA (Antinuclear Antibody),Immunology,Blood (Plain),Screening test for autoimmune disorders,Same day,Yes,Standardized,Advanced
786,Confirmatory Core Needle Biopsy (785),Pathology,Breath,confirmatory method of Histological examination of solid tumors,2 hours,12 hours,Standardized,Basic
787,Alkaline Phosphatase,Biochemistry,Blood (Plain),Liver/bone enzyme elevated in cholestasis,4 hours,8 hours,See report,Basic
788,Digital Post-Prandial Blood Glucose,Biochemistry,Blood (Fluoride Oxalate),digital method of Measures blood sugar 2 hours after meal,48 hours,12 hours,Lab-specific,Basic
789,Serial Ultrasound Obstetric (788),Radiology,—,"serial method of Fetal growth, placenta, amniotic fluid assessment",Same day,Yes,Standardized,Specialized
790,Point-of-Care Wound Swab Culture,Microbiology,Urine (Spot),point-of-care method of Identifies pathogens in infected wounds,2 hours,No,Age/sex dependent,Standard
791,Qualitative Pap Smear,Pathology,—,qualitative method of Cervical cancer screening,48 hours,12 hours,Age/sex dependent,Advanced
792,Confirmatory Electrocardiogram (ECG/EKG),Cardiology,—,confirmatory method of 12-lead cardiac electrical activity recording,6 hours,12 hours,Standardized,Specialized
793,Extended Colonoscopy,Endoscopy,—,extended method of Colon and rectum visualization for polyps/cancer,48 hours,8 hours,See report,Specialized
794,Qualitative JAK2 Mutation,Cardiology,Blood (EDTA),qualitative method of Polycythemia vera and MPN diagnosis,Same day,8 hours,See report,Basic
795,Conventional H. Pylori Antigen (Stool),Microbiology,Stool,conventional method of H. pylori infection detection in stool,2 hours,No,Lab-specific,Basic
796,Anti-HCV Antibody,Microbiology,Blood (Plain),Screens for hepatitis C infection,72 hours,8 hours,Lab-specific,Advanced
797,Automated Urine Bence-Jones Protein,Biochemistry,Urine (24h),automated method of Multiple myeloma screening marker,1 hour,8 hours,See report,Basic
798,Digital Fibrinogen Level,Hematology,Blood (Citrate),digital method of Measures fibrinogen for coagulation assessment,72 hours,Yes,Standardized,Basic
799,Qualitative Allergy Panel (IgE),Immunology,Blood (Plain),qualitative method of Identifies specific allergen sensitization,6 hours,12 hours,Lab-specific,Advanced
800,Confirmatory BAER (Brainstem Auditory Evoked Response),Neurology,—,confirmatory method of Brainstem and auditory pathway assessment,24 hours,No,Standardized,Standard
801,Qualitative Immunoglobulins (IgG/IgM/IgA),Immunology,Blood (Plain),qualitative method of Measures antibody levels for immunodeficiency,2 hours,8 hours,Age/sex dependent,Specialized
802,CSF Culture and Analysis,Microbiology,CSF,Evaluates meningitis and CNS infections,1 hour,12 hours,Standardized,Basic
803,Qualitative Sigmoidoscopy (802),Endoscopy,—,qualitative method of Sigmoid colon and rectum examination,1 hour,Yes,Age/sex dependent,Standard
804,Quantitative Dengue IgM/IgG Antibodies,Microbiology,Blood (Plain),quantitative method of Serological diagnosis of dengue fever,Same day,8 hours,Lab-specific,Basic
805,Rapid Platelet Count (804),Hematology,Blood (EDTA),rapid method of Quantifies platelets for bleeding/clotting assessment,Same day,12 hours,Standardized,Specialized
806,Immunoassay CA-125,Biochemistry,Blood (Plain),immunoassay method of Ovarian cancer biomarker,48 hours,12 hours,Standardized,Advanced
807,Serial Mammography (806),Radiology,—,serial method of Breast tissue screening for cancer,1 hour,8 hours,Standardized,Specialized
808,Digital Serum Lipase (807),Biochemistry,Blood (Plain),digital method of More specific pancreatic enzyme than amylase,4 hours,Yes,Age/sex dependent,Specialized
809,Automated JAK2 Mutation,Pathology,Blood (EDTA),automated method of Polycythemia vera and MPN diagnosis,24 hours,12 hours,Standardized,Specialized
810,Fluorescent Ambulatory Blood Pressure Monitoring,Cardiology,—,fluorescent method of 24-hour blood pressure pattern assessment,1 hour,12 hours,Age/sex dependent,Specialized
811,Blood Urea Nitrogen,Biochemistry,Blood (Plain),Assesses kidney function and protein catabolism,6 hours,No,See report,Advanced
812,Quantitative BCR-ABL PCR,Microbiology,Blood (Fluoride Oxalate),quantitative method of CML monitoring and diagnosis,24 hours,8 hours,Standardized,Advanced
813,C-Peptide,Biochemistry,Blood (Plain),Distinguishes Type 1 from Type 2 diabetes,4 hours,No,Standardized,Specialized
814,Fluorescent Core Needle Biopsy,Pathology,Swab,fluorescent method of Histological examination of solid tumors,Same day,Yes,See report,Advanced
815,Rapid HLA Typing,Genetics,Blood (EDTA),rapid method of Organ transplant matching and disease association,24 hours,8 hours,Lab-specific,Basic
816,Serial Spirometry (PFT),Pulmonology,Breath,serial method of Lung function assessment for asthma and COPD,1 hour,12 hours,Lab-specific,Standard
817,Qualitative X-Ray Knee/Hip/Shoulder (816),Radiology,—,qualitative method of Joint space evaluation for arthritis and fractures,2 hours,No,Lab-specific,Specialized
818,Digital Platelet Count,Hematology,Blood (EDTA),digital method of Quantifies platelets for bleeding/clotting assessment,4 hours,12 hours,Standardized,Advanced
819,Immunoassay Hepatitis B Surface Antigen (HBsAg),Microbiology,Blood (Plain),immunoassay method of Screens for active hepatitis B infection,72 hours,8 hours,Standardized,Standard
820,Fluorescent CEA (Carcinoembryonic Antigen),Biochemistry,Blood (Plain),fluorescent method of Tumor marker for colorectal cancer monitoring,24 hours,Yes,Standardized,Basic
821,Conventional Treadmill Test (TMT/Exercise Stress Test),Cardiology,—,conventional method of Exercise-induced cardiac ischemia assessment,2 hours,Yes,Lab-specific,Specialized
822,Point-of-Care H. Pylori Antigen (Stool) (821),Microbiology,Stool,point-of-care method of H. pylori infection detection in stool,2 hours,Yes,Age/sex dependent,Specialized
823,High-Sensitivity Anti-CCP Antibody,Immunology,Blood (Plain),high-sensitivity method of Highly specific marker for rheumatoid arthritis,48 hours,Yes,See report,Basic
824,Extended ESR (Erythrocyte Sedimentation Rate),Hematology,Blood (EDTA),extended method of Measures rate of red blood cell sedimentation,2 hours,12 hours,Standardized,Advanced
825,Conventional ANA (Antinuclear Antibody),Immunology,Blood (Plain),conventional method of Screening test for autoimmune disorders,72 hours,No,Lab-specific,Basic
826,BRCA1/BRCA2 Gene Testing,Genetics,Blood (EDTA),Hereditary breast/ovarian cancer risk assessment,4 hours,8 hours,Standardized,Basic
827,Fluorescent Fundus Photography,Ophthalmology,—,fluorescent method of Retina and optic disc imaging,Same day,12 hours,Lab-specific,Advanced
828,Point-of-Care Stool for Ova and Parasite,Microbiology,Stool,point-of-care method of Intestinal parasitic infection detection,Same day,No,Standardized,Basic
829,Qualitative Stool for Ova and Parasite,Microbiology,Stool,qualitative method of Intestinal parasitic infection detection,4 hours,Yes,Lab-specific,Basic
830,Immunoassay Serum Albumin,Biochemistry,Blood (Plain),immunoassay method of Protein marker for nutritional status and liver function,6 hours,8 hours,Lab-specific,Advanced
831,Extended Folate Level,Biochemistry,Blood (Plain),extended method of Measures folic acid for megaloblastic anemia,24 hours,No,Standardized,Specialized
832,Serial CRP (C-Reactive Protein) (831),Biochemistry,Blood (Plain),serial method of Acute phase inflammatory marker,48 hours,Yes,Standardized,Specialized
833,Venereal Disease Research Lab (VDRL),Microbiology,Blood (Plain),Syphilis screening test,4 hours,8 hours,Age/sex dependent,Standard
834,Automated FISH (Fluorescence In-Situ Hybridization) (833),Genetics,Urine (Mid-Stream),automated method of Specific chromosomal deletion/translocation detection,4 hours,Yes,Lab-specific,Specialized
835,Qualitative H. Pylori Urea Breath Test,Gastroenterology,Breath,qualitative method of Non-invasive H. pylori detection,Same day,8 hours,Age/sex dependent,Basic
836,Quantitative EMG (Electromyography),Neurology,—,quantitative method of Muscle electrical activity assessment,1 hour,12 hours,Age/sex dependent,Specialized
837,Ultrasound Abdomen and Pelvis,Radiology,—,Soft tissue imaging of abdominal organs,24 hours,8 hours,Standardized,Specialized
838,Quantitative ABG (Arterial Blood Gas),Pulmonology,Arterial Blood,"quantitative method of Blood pH, oxygenation, and CO2 assessment",4 hours,No,See report,Basic
839,Rapid Skin Biopsy,Pathology,Blood (Citrate),rapid method of Histological skin lesion diagnosis,6 hours,No,Standardized,Specialized
840,Serum Iron and TIBC,Biochemistry,Blood (Plain),Iron metabolism panel for anemia classification,72 hours,Yes,Standardized,Advanced
841,Fluorescent JAK2 Mutation (840),Urology,Blood (EDTA),fluorescent method of Polycythemia vera and MPN diagnosis,48 hours,No,Lab-specific,Specialized
842,24-Hour Urine Protein,Biochemistry,Urine (24h),Quantifies proteinuria for renal disease staging,4 hours,12 hours,Lab-specific,Basic
843,Quantitative Anti-HCV Antibody,Microbiology,Blood (Plain),quantitative method of Screens for hepatitis C infection,6 hours,12 hours,Lab-specific,Basic
844,Advanced HbA1c (Glycated Hemoglobin),Biochemistry,Blood (EDTA),advanced method of 3-month average blood glucose control marker,72 hours,8 hours,See report,Basic
845,Point-of-Care Wound Swab Culture (844),Microbiology,Arterial Blood,point-of-care method of Identifies pathogens in infected wounds,2 hours,12 hours,Lab-specific,Basic
846,Free T3 and T4,Biochemistry,Blood (Plain),Thyroid hormone levels for hypo/hyperthyroidism,Same day,8 hours,Lab-specific,Basic
847,Rapid Thyroglobulin Antibody,Biochemistry,Blood (Plain),rapid method of Thyroid autoimmunity and cancer monitoring,48 hours,No,Age/sex dependent,Standard
848,Endometrial Biopsy,Pathology,Urine (Mid-Stream),Uterine pathology assessment,6 hours,8 hours,Lab-specific,Specialized
849,Extended Coronary Angiography (CAG),Cardiology,Blood (EDTA),extended method of Invasive visualization of coronary arteries,1 hour,Yes,See report,Advanced
850,Digital Serum Electrolytes (Na/K/Cl) (849),Biochemistry,Blood (Plain),"digital method of Measures sodium, potassium, chloride levels",72 hours,12 hours,Age/sex dependent,Basic
851,Qualitative Endometrial Biopsy,Pathology,Breath,qualitative method of Uterine pathology assessment,48 hours,8 hours,Lab-specific,Specialized
852,CT Scan Head (Plain/Contrast),Radiology,—,"Brain imaging for stroke, tumor, trauma",Same day,8 hours,Age/sex dependent,Specialized
853,High-Sensitivity Stool Culture,Microbiology,Stool,high-sensitivity method of Identifies enteric pathogens in GI infections,Same day,12 hours,See report,Standard
854,Quantitative Treponema Pallidum Antibody (TPHA) (853),Microbiology,Blood (Plain),quantitative method of Confirmatory test for syphilis,24 hours,Yes,Standardized,Standard
855,Immunoassay Bronchoscopy,Endoscopy,—,immunoassay method of Airway visualization and bronchial biopsy,72 hours,Yes,See report,Specialized
856,FeNO (Fractional Exhaled Nitric Oxide),Pulmonology,Breath,Airway eosinophilic inflammation marker,6 hours,Yes,Lab-specific,Advanced
857,Conventional Urine Ketone Bodies (856),Biochemistry,Sputum,conventional method of Diabetic ketoacidosis screening,Same day,12 hours,Standardized,Standard
858,Cystoscopy,Endoscopy,—,Bladder and urethra direct visualization,1 hour,8 hours,Age/sex dependent,Advanced
859,Qualitative Intraocular Pressure (Tonometry),Ophthalmology,—,qualitative method of Glaucoma screening and monitoring,4 hours,12 hours,See report,Specialized
860,Automated BNP/NT-proBNP (859),Biochemistry,Blood (Plain),automated method of Heart failure biomarker for ventricular stress,72 hours,No,Age/sex dependent,Advanced
861,Immunoassay Serum Calcium,Biochemistry,Blood (Plain),immunoassay method of Measures total calcium for bone and parathyroid assessment,6 hours,Yes,See report,Advanced
862,Immunoassay Complement (C3/C4),Immunology,Blood (Plain),immunoassay method of Complement system evaluation for autoimmune disease,Same day,No,Age/sex dependent,Standard
863,Immunoassay CT Scan Chest (HRCT),Radiology,—,immunoassay method of High-resolution lung parenchyma imaging,6 hours,No,Standardized,Standard
864,Digital Dengue IgM/IgG Antibodies (863),Microbiology,Blood (Plain),digital method of Serological diagnosis of dengue fever,6 hours,No,See report,Standard
865,Extended Allergy Panel (IgE),Immunology,Blood (Plain),extended method of Identifies specific allergen sensitization,2 hours,12 hours,See report,Advanced
866,Digital Serum Uric Acid,Biochemistry,Blood (Plain),digital method of Measures uric acid for gout and kidney stone assessment,4 hours,No,Lab-specific,Basic
867,Point-of-Care H. Pylori Antigen (Stool) (866),Microbiology,Stool,point-of-care method of H. pylori infection detection in stool,6 hours,No,Lab-specific,Basic
868,Digital FeNO (Fractional Exhaled Nitric Oxide),Pulmonology,Breath,digital method of Airway eosinophilic inflammation marker,1 hour,Yes,See report,Standard
869,Fluorescent Bone Marrow Biopsy,Hematology,Blood (Fluoride Oxalate),fluorescent method of Histological examination of bone marrow for hematologic disorders,4 hours,Yes,See report,Basic
870,Extended Hepatitis B Surface Antigen (HBsAg) (869),Microbiology,Blood (Plain),extended method of Screens for active hepatitis B infection,48 hours,12 hours,Standardized,Advanced
871,Extended ESR (Erythrocyte Sedimentation Rate) (870),Hematology,Blood (EDTA),extended method of Measures rate of red blood cell sedimentation,2 hours,Yes,See report,Advanced
872,Extended HCG (Beta),Biochemistry,Swab,extended method of Pregnancy test and testicular/trophoblastic tumor marker,48 hours,Yes,See report,Basic
873,Advanced Urine Routine and Microscopy (872),Biochemistry,Urine (Mid-Stream),"advanced method of Screens for UTI, renal disease, metabolic disorders",Same day,No,Age/sex dependent,Advanced
874,Point-of-Care HLA-B27 (873),Immunology,Blood (EDTA),point-of-care method of Genetic marker for ankylosing spondylitis,2 hours,8 hours,See report,Standard
875,COVID-19 Antigen Test,Microbiology,—,Rapid antigen detection for COVID-19,Same day,8 hours,Lab-specific,Basic
876,Immunoassay Liver Function Tests,Biochemistry,Blood (Plain),"immunoassay method of Panel measuring bilirubin, albumin, liver enzymes",1 hour,12 hours,Age/sex dependent,Advanced
877,Fluorescent SGOT/AST,Biochemistry,Blood (Plain),fluorescent method of Liver and muscle enzyme marker,4 hours,No,Age/sex dependent,Specialized
878,Immunoassay Reticulocyte Count,Hematology,Blood (EDTA),immunoassay method of Counts immature red blood cells to assess bone marrow activity,48 hours,8 hours,See report,Basic
879,Spirometry (PFT),Pulmonology,Breath,Lung function assessment for asthma and COPD,1 hour,No,See report,Advanced
880,Urine Ketone Bodies,Biochemistry,Breath,Diabetic ketoacidosis screening,48 hours,No,See report,Specialized
881,Conventional Peripheral Blood Smear (880),Hematology,Blood (EDTA),conventional method of Microscopic examination of blood cells for morphology,Same day,8 hours,Standardized,Advanced
882,Anti-dsDNA Antibody,Immunology,Blood (Plain),Specific for Systemic Lupus Erythematosus,2 hours,8 hours,See report,Basic
883,Rapid CSF Culture and Analysis,Microbiology,CSF,rapid method of Evaluates meningitis and CNS infections,48 hours,12 hours,Standardized,Advanced
884,Immunoassay Cardiac Catheterization,Cardiology,Urine (Mid-Stream),immunoassay method of Hemodynamic assessment of cardiac chambers,2 hours,Yes,See report,Advanced
885,High-Sensitivity Urine Microalbumin,Biochemistry,Urine (Spot),high-sensitivity method of Early diabetic nephropathy detection,24 hours,8 hours,See report,Basic
886,EEG (Electroencephalogram),Neurology,—,Brain electrical activity for seizure diagnosis,6 hours,8 hours,See report,Advanced
887,Point-of-Care Serum Lipase,Biochemistry,Blood (Plain),point-of-care method of More specific pancreatic enzyme than amylase,24 hours,Yes,Standardized,Specialized
888,Fluorescent Coagulation Profile (PT/INR/aPTT),Hematology,Blood (Citrate),fluorescent method of Assesses clotting factor function and anticoagulation therapy,72 hours,Yes,See report,Specialized
889,Rapid Cardiac Catheterization (888),Cardiology,Arterial Blood,rapid method of Hemodynamic assessment of cardiac chambers,6 hours,12 hours,Standardized,Standard
890,Serum Cortisol,Biochemistry,Blood (Plain),Adrenal function marker for Cushing/Addison,Same day,No,Standardized,Advanced
891,Digital Serum Amylase,Biochemistry,Blood (Plain),digital method of Pancreatic enzyme elevated in acute pancreatitis,4 hours,12 hours,Standardized,Basic
892,Confirmatory CD4 Count (T-Cell),Immunology,Blood (EDTA),confirmatory method of HIV disease progression monitoring,6 hours,12 hours,See report,Advanced
893,Qualitative Serum Bilirubin (Total/Direct),Biochemistry,Blood (Plain),qualitative method of Measures bilirubin for jaundice evaluation,72 hours,Yes,Age/sex dependent,Basic
894,Automated Lipid Profile,Biochemistry,Blood (Plain),"automated method of Measures cholesterol, LDL, HDL, triglycerides",24 hours,12 hours,Lab-specific,Specialized
895,Point-of-Care Serum Lipase (894),Biochemistry,Blood (Plain),point-of-care method of More specific pancreatic enzyme than amylase,72 hours,Yes,Standardized,Advanced
896,Confirmatory Vitamin B12 (895),Biochemistry,Blood (Plain),confirmatory method of Measures cobalamin for neuropathy and anemia,1 hour,No,Lab-specific,Basic
897,Fluorescent Ultrasound Abdomen and Pelvis,Radiology,—,fluorescent method of Soft tissue imaging of abdominal organs,2 hours,No,Standardized,Specialized
898,Confirmatory Folate Level,Biochemistry,Blood (Plain),confirmatory method of Measures folic acid for megaloblastic anemia,72 hours,No,Standardized,Basic
899,Conventional Complement (C3/C4),Immunology,Blood (Plain),conventional method of Complement system evaluation for autoimmune disease,Same day,Yes,See report,Specialized
900,Automated Anti-dsDNA Antibody,Immunology,Blood (Plain),automated method of Specific for Systemic Lupus Erythematosus,4 hours,Yes,Standardized,Specialized
901,Extended Visual Field Test (Perimetry) (900),Ophthalmology,—,extended method of Peripheral vision assessment,24 hours,8 hours,See report,Advanced
902,Rapid Ultrasound Thyroid (901),Radiology,—,rapid method of Evaluates thyroid gland morphology and nodules,72 hours,12 hours,Age/sex dependent,Basic
903,Point-of-Care Pap Smear,Pathology,Tissue,point-of-care method of Cervical cancer screening,4 hours,12 hours,Age/sex dependent,Advanced
904,Extended Immunoglobulins (IgG/IgM/IgA) (903),Immunology,Blood (Plain),extended method of Measures antibody levels for immunodeficiency,4 hours,Yes,See report,Standard
905,High-Sensitivity ERCP,Endoscopy,—,high-sensitivity method of Biliary and pancreatic duct evaluation,Same day,Yes,Standardized,Standard
906,Immunoassay Ultrasound Abdomen and Pelvis,Radiology,—,immunoassay method of Soft tissue imaging of abdominal organs,48 hours,8 hours,Lab-specific,Standard
907,Fasting Blood Glucose,Biochemistry,Blood (Fluoride Oxalate),Measures blood sugar after 8-hour fast,4 hours,12 hours,Age/sex dependent,Basic
908,Quantitative ANCA (Anti-Neutrophil Cytoplasmic Antibody),Immunology,Blood (Plain),quantitative method of Vasculitis screening marker,72 hours,Yes,Age/sex dependent,Specialized
909,Digital H. Pylori Urea Breath Test (908),Gastroenterology,Breath,digital method of Non-invasive H. pylori detection,Same day,No,See report,Specialized
910,Digital COVID-19 RT-PCR (909),Microbiology,Tissue,digital method of Molecular detection of SARS-CoV-2,Same day,8 hours,Standardized,Basic
911,Serial Treponema Pallidum Antibody (TPHA),Microbiology,Blood (Plain),serial method of Confirmatory test for syphilis,24 hours,12 hours,Lab-specific,Basic
912,Digital Lipid Profile,Biochemistry,Blood (Plain),"digital method of Measures cholesterol, LDL, HDL, triglycerides",4 hours,No,Age/sex dependent,Advanced
913,Fluorescent Visual Field Test (Perimetry),Ophthalmology,—,fluorescent method of Peripheral vision assessment,1 hour,Yes,See report,Basic
914,Fluorescent MRI Brain,Radiology,—,"fluorescent method of Detailed CNS imaging for tumors, MS, stroke",48 hours,No,Age/sex dependent,Advanced
915,Immunoassay Endometrial Biopsy,Pathology,Urine (Mid-Stream),immunoassay method of Uterine pathology assessment,1 hour,12 hours,Lab-specific,Standard
916,Extended CRP (C-Reactive Protein),Biochemistry,Blood (Plain),extended method of Acute phase inflammatory marker,4 hours,8 hours,Standardized,Standard
917,Qualitative Serum Ferritin,Biochemistry,Blood (Plain),qualitative method of Iron storage marker for anemia and iron overload,4 hours,8 hours,Age/sex dependent,Basic
918,Digital Treponema Pallidum Antibody (TPHA),Microbiology,Blood (Plain),digital method of Confirmatory test for syphilis,1 hour,Yes,Standardized,Standard
919,Extended Serum Amylase,Biochemistry,Blood (Plain),extended method of Pancreatic enzyme elevated in acute pancreatitis,4 hours,8 hours,Standardized,Standard
920,Fluorescent Serum Cortisol,Biochemistry,Blood (Plain),fluorescent method of Adrenal function marker for Cushing/Addison,2 hours,No,Standardized,Basic
921,Extended Coronary Angiography (CAG) (920),Cardiology,Urine (Spot),extended method of Invasive visualization of coronary arteries,24 hours,Yes,Standardized,Basic
922,Conventional CT Pulmonary Angiography (CTPA),Radiology,—,conventional method of Gold standard for pulmonary embolism diagnosis,1 hour,8 hours,See report,Basic
923,Point-of-Care EMG (Electromyography),Neurology,—,point-of-care method of Muscle electrical activity assessment,2 hours,8 hours,See report,Standard
924,Digital Throat Swab Culture,Microbiology,Breath,digital method of Identifies Streptococcus and other pharyngeal pathogens,72 hours,Yes,See report,Specialized
925,Extended Immunoglobulins (IgG/IgM/IgA) (924),Immunology,Blood (Plain),extended method of Measures antibody levels for immunodeficiency,4 hours,12 hours,See report,Basic
926,Point-of-Care Rapid Plasma Reagin (RPR),Microbiology,Blood (Plain),point-of-care method of Syphilis activity monitoring test,24 hours,No,Standardized,Basic
927,Qualitative Upper GI Endoscopy (OGD Scope),Endoscopy,—,"qualitative method of Visualization of esophagus, stomach, duodenum",4 hours,No,See report,Basic
928,JAK2 Mutation,Neurology,Blood (EDTA),Polycythemia vera and MPN diagnosis,2 hours,12 hours,Age/sex dependent,Basic
929,Digital H. Pylori Antigen (Stool) (928),Microbiology,Stool,digital method of H. pylori infection detection in stool,1 hour,12 hours,Age/sex dependent,Basic
930,Quantitative Treadmill Test (TMT/Exercise Stress Test) (929),Cardiology,—,quantitative method of Exercise-induced cardiac ischemia assessment,Same day,8 hours,Age/sex dependent,Standard
931,Conventional Sputum Culture,Microbiology,Sputum,conventional method of Identifies respiratory pathogens,4 hours,12 hours,Standardized,Standard
932,Immunoassay HIV ELISA (1&2),Microbiology,Blood (Plain),immunoassay method of Screening test for HIV infection,48 hours,8 hours,Lab-specific,Specialized
933,Conventional CA 19-9 (932),Biochemistry,Blood (Plain),conventional method of Pancreatic cancer monitoring marker,Same day,12 hours,See report,Advanced
934,Rapid Typhoid Widal Test (933),Microbiology,Blood (Plain),rapid method of Antibody test for Salmonella typhi,2 hours,No,Standardized,Standard
935,Rapid Stool Culture,Microbiology,Stool,rapid method of Identifies enteric pathogens in GI infections,Same day,Yes,Lab-specific,Basic
936,Fluorescent Bronchoscopy (935),Endoscopy,—,fluorescent method of Airway visualization and bronchial biopsy,1 hour,8 hours,Age/sex dependent,Basic
937,Qualitative BRCA1/BRCA2 Gene Testing,Genetics,Blood (EDTA),qualitative method of Hereditary breast/ovarian cancer risk assessment,4 hours,8 hours,Standardized,Standard
938,Advanced ESR (Erythrocyte Sedimentation Rate),Hematology,Blood (EDTA),advanced method of Measures rate of red blood cell sedimentation,4 hours,Yes,Standardized,Specialized
939,Automated Chromosomal Karyotyping (938),Genetics,Blood (Fluoride Oxalate),automated method of Chromosomal abnormality detection,24 hours,12 hours,Age/sex dependent,Standard
940,Extended Hemoglobin Estimation (939),Hematology,Blood (EDTA),extended method of Measures hemoglobin concentration in blood,24 hours,No,Standardized,Basic
941,High-Sensitivity CT Scan Abdomen and Pelvis,Radiology,—,high-sensitivity method of Detailed abdominal organ and vascular imaging,48 hours,8 hours,Standardized,Basic
942,Immunoassay OCT (Optical Coherence Tomography),Ophthalmology,—,immunoassay method of Retinal layer cross-sectional imaging,48 hours,12 hours,Lab-specific,Standard
943,Extended Blood Culture and Sensitivity (942),Microbiology,Swab,extended method of Detects bacterial/fungal bloodstream infections,Same day,8 hours,Lab-specific,Specialized
944,Confirmatory Holter Monitor (24-hour ECG),Cardiology,—,confirmatory method of Continuous cardiac rhythm monitoring,4 hours,8 hours,Lab-specific,Advanced
945,Reticulocyte Count,Hematology,Blood (EDTA),Counts immature red blood cells to assess bone marrow activity,Same day,12 hours,Lab-specific,Basic
946,Conventional Treponema Pallidum Antibody (TPHA) (945),Microbiology,Blood (Plain),conventional method of Confirmatory test for syphilis,24 hours,8 hours,See report,Advanced
947,ABG (Arterial Blood Gas),Pulmonology,Arterial Blood,"Blood pH, oxygenation, and CO2 assessment",72 hours,8 hours,See report,Advanced
948,Rapid X-Ray Abdomen (Erect) (947),Radiology,—,"rapid method of Evaluates bowel obstruction, perforation",24 hours,12 hours,Age/sex dependent,Specialized
949,Serial SGPT/ALT,Biochemistry,Blood (Plain),serial method of Liver-specific enzyme for hepatocellular damage,2 hours,8 hours,Standardized,Standard
950,Fluorescent Serum Amylase,Biochemistry,Blood (Plain),fluorescent method of Pancreatic enzyme elevated in acute pancreatitis,6 hours,No,See report,Basic
951,Serial Ultrasound Obstetric (950),Radiology,—,"serial method of Fetal growth, placenta, amniotic fluid assessment",24 hours,8 hours,See report,Basic
952,Rapid Liver Biopsy,Pathology,Stool,rapid method of Hepatic fibrosis staging and diagnosis,Same day,Yes,See report,Standard
953,CEA (Carcinoembryonic Antigen),Biochemistry,Blood (Plain),Tumor marker for colorectal cancer monitoring,2 hours,Yes,See report,Advanced
954,Serum Uric Acid,Biochemistry,Blood (Plain),Measures uric acid for gout and kidney stone assessment,48 hours,Yes,See report,Standard
955,Confirmatory BNP/NT-proBNP,Biochemistry,Blood (Plain),confirmatory method of Heart failure biomarker for ventricular stress,24 hours,8 hours,Standardized,Advanced
956,High-Sensitivity Thyroglobulin Antibody (955),Biochemistry,Blood (Plain),high-sensitivity method of Thyroid autoimmunity and cancer monitoring,1 hour,No,Lab-specific,Basic
957,Rapid Vitamin D (25-OH),Biochemistry,Blood (Plain),rapid method of Measures vitamin D status,48 hours,8 hours,Lab-specific,Specialized
958,Automated Chest X-Ray (PA View),Radiology,—,"automated method of Imaging of lungs, heart, and mediastinum",Same day,Yes,Lab-specific,Basic
959,Conventional ABG (Arterial Blood Gas),Pulmonology,Arterial Blood,"conventional method of Blood pH, oxygenation, and CO2 assessment",2 hours,No,Lab-specific,Advanced
960,Digital Chest X-Ray (PA View),Radiology,—,"digital method of Imaging of lungs, heart, and mediastinum",24 hours,8 hours,See report,Basic
961,Digital GGT (Gamma-GT),Biochemistry,Blood (Plain),digital method of Sensitive liver enzyme for alcohol and biliary disease,4 hours,12 hours,See report,Basic
962,Anti-CCP Antibody,Immunology,Blood (Plain),Highly specific marker for rheumatoid arthritis,24 hours,Yes,Age/sex dependent,Standard
963,Point-of-Care Lumbar Puncture (CSF Analysis),Neurology,CSF,point-of-care method of CNS infection and demyelination diagnosis,4 hours,8 hours,Age/sex dependent,Advanced
964,Automated CPK/CK (Creatine Kinase),Biochemistry,Blood (Plain),automated method of Muscle/heart enzyme marker for MI and myopathy,24 hours,Yes,Standardized,Specialized
965,Confirmatory Cardiac Catheterization,Cardiology,Blood (EDTA),confirmatory method of Hemodynamic assessment of cardiac chambers,72 hours,Yes,Standardized,Standard
